id,label,modularity_class,eccentricity,closness_centrality,harmonic_closness_centrality,betweeness_centrality,eigen_centrality,pageranks,clustering_coefficient,triangles
n0,machine learning,1,3,0.530487805,0.618135377,0.209847892,1,0.011069721,0.130372853,1556
n1,regression,1,4,0.447300771,0.509099617,0.029168176,0.48378853,0.005252362,0.276056338,686
n2,neural,1,4,0.396355353,0.431034483,0,0.185679671,0.001574806,1,171
n3,linear,1,4,0.396355353,0.431034483,0,0.185679671,0.001574806,1,171
n4,module,6,3,0.506796117,0.58045977,0.156934469,0.905540987,0.008261278,0.170203675,1195
n5,logistic,1,4,0.396355353,0.431034483,0,0.185679671,0.001574806,1,171
n6,discuss,1,4,0.396355353,0.431034483,0,0.185679671,0.001574806,1,171
n7,algorithm,1,3,0.424390244,0.463601533,0.004664393,0.294801134,0.002749171,0.546031746,344
n8,multiple,1,4,0.396355353,0.431034483,0,0.185679671,0.001574806,1,171
n9,recommender,1,4,0.406858924,0.452745849,0.004022982,0.271971183,0.002801034,0.544444444,343
n10,networks,1,4,0.396355353,0.431034483,0,0.185679671,0.001574806,1,171
n11,algebra,1,4,0.396355353,0.431034483,0,0.185679671,0.001574806,1,171
n12,implementing,1,4,0.396355353,0.431034483,0,0.185679671,0.001574806,1,171
n13,octave,1,4,0.396355353,0.431034483,0,0.185679671,0.001574806,1,171
n14,unsupervised,1,4,0.396355353,0.431034483,0,0.185679671,0.001574806,1,171
n15,practice,1,4,0.396355353,0.431034483,0,0.185679671,0.001574806,1,171
n16,machines,7,4,0.408131353,0.455300128,0.048412847,0.238337215,0.003090614,0.486486486,342
n17,practices,1,4,0.396355353,0.431034483,0,0.185679671,0.001574806,1,171
n18,introduce,1,4,0.425774878,0.467911877,0.007149481,0.286727106,0.002770636,0.542857143,342
n19,learning,1,3,0.424390244,0.463601533,0.004664393,0.294801134,0.002749171,0.546031746,344
n20,documents,1,4,0.367088608,0.399265645,0,0.140595331,0.001625711,1,171
n21,deep,1,4,0.367088608,0.399265645,0,0.140595331,0.001625711,1,171
n22,intelligent,1,4,0.367088608,0.399265645,0,0.140595331,0.001625711,1,171
n23,house,1,4,0.367088608,0.399265645,0,0.140595331,0.001625711,1,171
n24,ipython,1,4,0.367088608,0.399265645,0,0.140595331,0.001625711,1,171
n25,notebook,1,4,0.367088608,0.399265645,0,0.140595331,0.001625711,1,171
n26,prices,1,4,0.367088608,0.399265645,0,0.140595331,0.001625711,1,171
n27,classification,1,3,0.399693721,0.439974457,0.003822264,0.259673865,0.002865421,0.51951952,346
n28,case,1,4,0.367088608,0.399265645,0,0.140595331,0.001625711,1,171
n29,image,1,4,0.367088608,0.399265645,0,0.140595331,0.001625711,1,171
n30,features,1,4,0.425081433,0.468550447,0.021518735,0.288933191,0.002900728,0.486486486,342
n31,retrieval,1,4,0.367088608,0.399265645,0,0.140595331,0.001625711,1,171
n32,build,1,4,0.367088608,0.399265645,0,0.140595331,0.001625711,1,171
n33,classifier,1,4,0.367088608,0.399265645,0,0.140595331,0.001625711,1,171
n34,document,1,4,0.367088608,0.399265645,0,0.140595331,0.001625711,1,171
n35,images,1,4,0.367088608,0.399265645,0,0.140595331,0.001625711,1,171
n36,similarity,1,4,0.367088608,0.399265645,0,0.140595331,0.001625711,1,171
n37,clustering,1,4,0.381021898,0.412675607,0,0.158023657,0.001575655,1,171
n38,association,1,4,0.381021898,0.412675607,0,0.158023657,0.001575655,1,171
n39,observations,1,4,0.381021898,0.412675607,0,0.158023657,0.001575655,1,171
n40,group,1,4,0.381021898,0.412675607,0,0.158023657,0.001575655,1,171
n41,rule,1,4,0.381021898,0.412675607,0,0.158023657,0.001575655,1,171
n42,technique,1,4,0.381021898,0.412675607,0,0.158023657,0.001575655,1,171
n43,large,1,4,0.381021898,0.412675607,0,0.158023657,0.001575655,1,171
n44,mining,1,3,0.413957177,0.454980843,0.020435018,0.25756048,0.002901129,0.487908962,343
n45,predict,1,4,0.381021898,0.412675607,0,0.158023657,0.001575655,1,171
n46,training,1,4,0.381021898,0.412675607,0,0.158023657,0.001575655,1,171
n47,techniques,1,4,0.381021898,0.412675607,0,0.158023657,0.001575655,1,171
n48,predictive,1,3,0.423014587,0.473818646,0.009788594,0.392135881,0.003946025,0.359189378,514
n49,set,1,4,0.381021898,0.412675607,0,0.158023657,0.001575655,1,171
n50,tools,2,3,0.466905188,0.512132822,0.038303584,0.507434515,0.003944577,0.342207792,527
n51,advance,1,4,0.381021898,0.412675607,0,0.158023657,0.001575655,1,171
n52,associaton,1,4,0.381021898,0.412675607,0,0.158023657,0.001575655,1,171
n53,theory,0,4,0.383823529,0.427841635,0.004525988,0.223690158,0.002974958,0.513513514,342
